Num,Name,PROTEIN,FAT,CARBON HYDRATE
165,こめ　［うるち米製品］　米粉,6.0,0.7,81.9
166,こめ　［うるち米製品］　米粉パン　食パン,-10.7,-5.1,-41.6
167,こめ　［うるち米製品］　米粉パン　ロールパン,-8.8,-6.7,-42.0
168,こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,3.4,3.1,51.3
169,こめ　［うるち米製品］　米粉めん,3.6,0.7,58.4
170,こめ　［うるち米製品］　ビーフン,7.0,1.6,79.9
171,こめ　［うるち米製品］　ライスペーパー,0.5,0.3,84.3
172,こめ　［うるち米製品］　米こうじ,5.8,1.7,59.2
173,こめ　［もち米製品］　もち,4.0,0.6,50.8
174,こめ　［もち米製品］　赤飯,4.3,0.6,41.9
175,こめ　［もち米製品］　あくまき,2.3,1.8,25.7
176,こめ　［もち米製品］　白玉粉,6.3,1.0,80.0
177,こめ　［もち米製品］　道明寺粉,7.1,0.7,80.4
178,こめ　［その他］　米ぬか,13.4,19.6,48.8
179,そば　そば粉　全層粉,12.0,3.1,69.6
180,そば　そば粉　内層粉,6.0,1.6,77.6
181,そば　そば粉　中層粉,10.2,2.7,71.6
182,そば　そば粉　表層粉,15.0,3.6,65.1
183,そば　そば米,9.6,2.5,73.7
184,そば　そば　生,9.8,1.9,54.5
185,そば　そば　ゆで,4.8,1.0,26.0
186,そば　そば　半生そば,-10.5,-3.8,-61.8
187,そば　干しそば　乾,14.0,2.3,66.7
188,そば　干しそば　ゆで,4.8,0.7,22.1
189,とうもろこし　玄穀　黄色種,8.6,5.0,70.6
190,とうもろこし　玄穀　白色種,8.6,5.0,70.6
191,とうもろこし　コーンミール　黄色種,8.3,4.0,72.4
192,とうもろこし　コーンミール　白色種,8.3,4.0,72.4
193,とうもろこし　コーングリッツ　黄色種,8.2,1.0,76.4
194,とうもろこし　コーングリッツ　白色種,8.2,1.0,76.4
195,とうもろこし　コーンフラワー　黄色種,6.6,2.8,76.1
196,とうもろこし　コーンフラワー　白色種,6.6,2.8,76.1
197,とうもろこし　ジャイアントコーン　フライ　味付け,5.7,11.8,76.6
198,とうもろこし　ポップコーン,10.2,22.8,59.6
199,とうもろこし　コーンフレーク,7.8,1.7,83.6
200,はとむぎ　精白粒,13.3,1.3,72.2
201,ひえ　精白粒,9.4,3.3,73.2
202,もろこし　玄穀,10.3,4.7,71.1
203,もろこし　精白粒,9.5,2.6,74.1
204,ライむぎ　全粒粉,12.7,2.7,70.7
205,ライむぎ　ライ麦粉,8.5,1.6,75.8
206,＜いも類＞　アメリカほどいも　塊根　生,5.9,0.6,35.6
207,＜いも類＞　アメリカほどいも　塊根　ゆで,6.0,0.8,34.5
208,＜いも類＞　きくいも　塊茎　生,1.9,0.4,14.7
209,＜いも類＞　きくいも　塊茎　水煮,1.6,0.5,11.3
210,＜いも類＞　こんにゃく　精粉,3.0,0.1,85.3
211,＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,0.1,Tr,2.3
212,＜いも類＞　こんにゃく　板こんにゃく　生いもこんにゃく,0.1,0.1,3.3
213,＜いも類＞　こんにゃく　赤こんにゃく,0.1,Tr,2.5
214,＜いも類＞　こんにゃく　凍みこんにゃく　乾,3.3,1.4,77.1
215,＜いも類＞　こんにゃく　凍みこんにゃく　ゆで,0.7,0.3,16.8
216,＜いも類＞　こんにゃく　しらたき,0.2,Tr,3.0
217,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　生,0.9,0.5,33.1
218,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　蒸し,0.9,0.2,33.7
219,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　天ぷら,1.4,6.8,38.4
220,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　生,1.2,0.2,31.9
221,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　蒸し,1.2,0.2,31.9
222,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　焼き,1.4,0.2,39.0
223,＜いも類＞　（さつまいも類）　さつまいも　蒸し切干,3.1,0.6,71.9
224,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　生,1.2,0.3,31.7
225,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　蒸し,1.2,0.3,31.4
226,＜いも類＞　（さといも類）　さといも　球茎　生,1.5,0.1,13.1
227,＜いも類＞　（さといも類）　さといも　球茎　水煮,1.5,0.1,13.4
228,＜いも類＞　（さといも類）　さといも　球茎　冷凍,2.2,0.1,16.1
229,＜いも類＞　（さといも類）　セレベス　球茎　生,2.2,0.3,19.8
230,＜いも類＞　（さといも類）　セレベス　球茎　水煮,2.1,0.3,19.1
231,＜いも類＞　（さといも類）　たけのこいも　球茎　生,1.7,0.4,23.5
232,＜いも類＞　（さといも類）　たけのこいも　球茎　水煮,1.6,0.4,21.8
233,＜いも類＞　（さといも類）　みずいも　球茎　生,0.7,0.4,27.6
234,＜いも類＞　（さといも類）　みずいも　球茎　水煮,0.7,0.4,26.1
235,＜いも類＞　（さといも類）　やつがしら　球茎　生,3.0,0.7,20.5
236,＜いも類＞　（さといも類）　やつがしら　球茎　水煮,2.7,0.6,20.0
237,＜いも類＞　じゃがいも　塊茎　皮つき　生,1.8,0.1,15.9
238,＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,2.1,0.2,19.2
239,＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　（生を揚げたもの）,2.7,5.6,25.4
240,＜いも類＞　じゃがいも　塊茎　皮なし　生,1.8,0.1,17.3
241,＜いも類＞　じゃがいも　塊茎　皮なし　水煮,1.7,0.1,16.9
242,＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,1.9,0.3,18.1
243,＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,1.9,0.1,19.0
244,＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（生を揚げたもの）,2.7,5.9,26.2
245,＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（市販冷凍食品を揚げたもの）,2.9,10.6,32.4
246,＜いも類＞　じゃがいも　乾燥マッシュポテト,6.6,0.6,82.8
247,＜いも類＞　ヤーコン　塊根　生,0.6,0.3,12.4
248,＜いも類＞　ヤーコン　塊根　水煮,0.6,0.3,9.9
249,＜いも類＞　（やまのいも類）　ながいも　いちょういも　塊根　生,4.5,0.5,22.6
250,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生,2.2,0.3,13.9
251,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　水煮,2.0,0.3,12.6
252,＜いも類＞　（やまのいも類）　ながいも　やまといも　塊根　生,4.5,0.2,27.1
253,＜いも類＞　（やまのいも類）　じねんじょ　塊根　生,2.8,0.7,26.7
254,＜いも類＞　（やまのいも類）　だいじょ　塊根　生,2.6,0.1,25.0
255,＜でん粉・でん粉製品＞　（でん粉類）　おおうばゆりでん粉,0.1,0.1,83.6
256,＜でん粉・でん粉製品＞　（でん粉類）　キャッサバでん粉,0.1,0.2,85.3
257,＜でん粉・でん粉製品＞　（でん粉類）　くずでん粉,0.2,0.2,85.6
258,＜でん粉・でん粉製品＞　（でん粉類）　米でん粉,0.2,0.7,89.3
259,＜でん粉・でん粉製品＞　（でん粉類）　小麦でん粉,0.2,0.5,86.0
260,＜でん粉・でん粉製品＞　（でん粉類）　サゴでん粉,0.1,0.2,86.1
261,＜でん粉・でん粉製品＞　（でん粉類）　さつまいもでん粉,0.1,0.2,82.0
262,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉,0.1,0.1,81.6
263,＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉,0.1,0.7,86.3
264,＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　乾,0.2,0.2,87.7
265,＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　ゆで,0.1,0.1,33.3
266,＜でん粉・でん粉製品＞　（でん粉製品）　ごま豆腐,1.5,4.3,9.1
267,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　乾,0,0.2,87.8
268,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　ゆで,0,Tr,15.4
269,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　生,0.1,0.2,32.2
270,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾,0.2,0.3,86.7
271,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾　ゆで,0,0.2,20.6
272,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾,0.2,0.4,87.5
273,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　ゆで,Tr,0.1,20.6
274,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　乾,0,0.2,86.6
275,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　ゆで,0,Tr,19.9
276,（砂糖類）　黒砂糖,1.7,Tr,90.3
277,（砂糖類）　てんさい含蜜糖,0.9,Tr,96.9
278,（砂糖類）　和三盆糖,0.2,Tr,99.0
279,（砂糖類）　車糖　上白糖,0,0,99.3
280,（砂糖類）　車糖　三温糖,Tr,0,99.0
281,（砂糖類）　ざらめ糖　グラニュー糖,0,0,100
282,（砂糖類）　ざらめ糖　白ざら糖,0,0,100
283,（砂糖類）　ざらめ糖　中ざら糖,0,0,100
284,（砂糖類）　加工糖　角砂糖,0,0,100
285,（砂糖類）　加工糖　氷砂糖,0,0,100
286,（砂糖類）　加工糖　コーヒーシュガー,0.1,0,99.8
287,（砂糖類）　加工糖　粉糖,0,0,99.7
288,（砂糖類）　液糖　しょ糖型液糖,0,0,67.9
289,（砂糖類）　液糖　転化型液糖,0,0,76.6
290,（砂糖類）　氷糖みつ,0.2,0,68.2
291,（でん粉糖類）　還元麦芽糖,0,Tr,100
292,（でん粉糖類）　還元水あめ,0,Tr,69.9
293,（でん粉糖類）　粉あめ,0,0,97.0
294,（でん粉糖類）　水あめ　酵素糖化,0,0,85.0
295,（でん粉糖類）　水あめ　酸糖化,0,0,85.0
296,（でん粉糖類）　ぶどう糖　全糖,0,0,91.0
297,（でん粉糖類）　ぶどう糖　含水結晶,0,0,91.3
298,（でん粉糖類）　ぶどう糖　無水結晶,0,0,99.7
299,（でん粉糖類）　果糖,0,0,99.9
300,（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖,0,0,75.0
301,（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖,0,0,75.0
302,（でん粉糖類）　異性化液糖　高果糖液糖,0,0,75.0
303,（その他）　黒蜜,1.0,0,50.5
304,（その他）　はちみつ,0.3,Tr,81.9
305,（その他）　メープルシロップ,0.1,0,66.3
306,あずき　全粒　乾,20.8,2.0,59.6
307,あずき　全粒　ゆで,8.6,0.8,25.6
308,あずき　ゆで小豆缶詰,4.4,0.4,49.2
309,あずき　あん　こし生あん,9.8,0.6,27.1
310,あずき　あん　さらしあん　（乾燥あん）,23.5,1.0,66.8
311,あずき　あん　こし練りあん　（並あん）,-5.6,-0.3,-58.8
312,あずき　あん　こし練りあん　（中割りあん）,-5.1,-0.3,-61.1
313,あずき　あん　こし練りあん　（もなかあん）,-5.1,-0.3,-68.6
314,あずき　あん　つぶし練りあん,5.6,0.6,54.0
315,いんげんまめ　全粒　乾,22.1,2.5,56.4
316,いんげんまめ　全粒　ゆで,9.3,1.2,24.5
317,いんげんまめ　うずら豆,6.7,1.3,49.6
318,いんげんまめ　こし生あん,9.4,0.9,27.0
319,いんげんまめ　豆きんとん,4.9,0.5,56.2
320,えんどう　全粒　青えんどう　乾,21.7,2.3,60.4
321,えんどう　全粒　青えんどう　ゆで,9.2,1.0,25.2
322,えんどう　全粒　赤えんどう　乾,21.7,2.3,60.4
323,えんどう　全粒　赤えんどう　ゆで,9.2,1.0,25.2
324,えんどう　グリンピース（揚げ豆）,20.8,11.6,58.8
325,えんどう　塩豆,23.3,2.4,61.5
326,えんどう　うぐいす豆,5.6,0.7,52.9
327,ささげ　全粒　乾,23.9,2.0,55.0
328,ささげ　全粒　ゆで,10.2,0.9,23.8
329,そらまめ　全粒　乾,26.0,2.0,55.9
330,そらまめ　フライビーンズ,24.7,20.8,46.4
331,そらまめ　おたふく豆,7.9,1.2,52.2
332,そらまめ　ふき豆,9.6,1.6,52.5
333,そらまめ　しょうゆ豆,9.8,0.9,37.1
334,だいず　［全粒・全粒製品］　全粒　青大豆　国産　乾,33.5,19.3,30.1
335,だいず　［全粒・全粒製品］　全粒　青大豆　国産　ゆで,15.0,8.2,9.9
336,だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,33.8,19.7,29.5
337,だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで,14.8,9.8,8.4
338,だいず　［全粒・全粒製品］　全粒　黄大豆　米国産　乾,33.0,21.7,28.8
339,だいず　［全粒・全粒製品］　全粒　黄大豆　中国産　乾,32.8,19.5,30.8
340,だいず　［全粒・全粒製品］　全粒　黄大豆　ブラジル産　乾,33.6,22.6,30.7
341,だいず　［全粒・全粒製品］　全粒　黒大豆　国産　乾,33.9,18.8,28.9
342,だいず　［全粒・全粒製品］　全粒　黒大豆　国産　ゆで,14.7,8.6,9.8
343,だいず　［全粒・全粒製品］　いり大豆　青大豆,37.7,20.7,33.9
344,だいず　［全粒・全粒製品］　いり大豆　黄大豆,37.5,21.6,33.3
345,だいず　［全粒・全粒製品］　いり大豆　黒大豆,36.4,22.0,34.3
346,だいず　［全粒・全粒製品］　水煮缶詰　黄大豆,12.9,6.7,7.7
347,だいず　［全粒・全粒製品］　蒸し大豆　黄大豆,16.6,9.8,13.8
348,だいず　［全粒・全粒製品］　きな粉　青大豆　全粒大豆,37.0,22.8,29.3
349,だいず　［全粒・全粒製品］　きな粉　青大豆　脱皮大豆,36.6,24.6,28.3
350,だいず　［全粒・全粒製品］　きな粉　黄大豆　全粒大豆,36.7,25.7,28.5
351,だいず　［全粒・全粒製品］　きな粉　黄大豆　脱皮大豆,37.5,25.1,29.5
352,だいず　［全粒・全粒製品］　きな粉（砂糖入り）　青きな粉,-18.5,-11.4,-64.3
353,だいず　［全粒・全粒製品］　きな粉（砂糖入り）　きな粉,-18.3,-12.9,-63.9
354,だいず　［全粒・全粒製品］　大豆はいが,37.8,14.7,39.5
355,だいず　［全粒・全粒製品］　ぶどう豆,14.1,9.4,37.0
356,だいず　［豆腐・油揚げ類］　木綿豆腐,7.0,4.9,1.5
357,だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：塩化マグネシウム）,7.0,4.9,1.5
